File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,"CConsole::CConsoleImpl::OIEO(const char* text, va_list list)",8,7,6,1,1,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,"CConsole::CConsoleImpl::OIEOLn(const char* text, va_list list)",8,7,6,1,1,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,"CConsole::CConsoleImpl::OOEO(const char* text, va_list list)",8,7,6,1,1,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,"CConsole::CConsoleImpl::OOEOLn(const char* text, va_list list)",8,7,6,1,1,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,"CConsole::CConsoleImpl::SOOI(const char* text, va_list list)",8,7,6,1,1,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,"CConsole::CConsoleImpl::SOLnOI(const char* text, va_list list)",8,7,6,1,1,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,"CConsole::CConsoleImpl::SOOO(const char* text, va_list list)",8,7,6,1,1,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,"CConsole::CConsoleImpl::SOLnOO(const char* text, va_list list)",8,7,6,1,1,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,"CConsole::CConsoleImpl::EOOI(const char* text, va_list list)",8,7,6,1,1,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,"CConsole::CConsoleImpl::EOLnOI(const char* text, va_list list)",8,7,6,1,1,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,"CConsole::CConsoleImpl::EOOO(const char* text, va_list list)",8,7,6,1,1,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,"CConsole::CConsoleImpl::EOLnOO(const char* text, va_list list)",8,7,6,1,1,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,"CConsole::CConsoleImpl::OISOOO(const char* text, va_list list)",9,8,7,1,1,0,0,0,
