File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,"CConsole::OIEOLnOO(const char* text, ...)",12,10,7,1,2,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,CConsole::getErrorOutsCount() const,7,5,4,3,2,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,CConsole::getSuccessOutsCount() const,7,5,4,3,2,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,CConsole::ResetErrorOutsCount(),7,5,4,1,2,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,CConsole::ResetSuccessOutsCount(),7,5,4,1,2,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,CConsole::operator<<(const char* text),8,6,5,3,2,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,CConsole::operator<<(const bool& b),8,6,5,3,2,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,CConsole::operator<<(const int& n),8,6,5,3,2,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,CConsole::operator<<(const float& f),8,6,5,3,2,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,CConsole::operator<<(const CConsole::FormatSignal& fs),8,6,5,3,2,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,CConsole::CConsole(),2,2,2,0,0,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,CConsole::CConsole(const CConsole&),2,1,1,0,1,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,CConsole::operator=(const CConsole&),2,2,2,1,0,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\CConsole.cpp,CConsole::~CConsole(),20,8,5,1,3,0,9,128,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\conmain.cpp,TestDefaultColors(CConsole& con),11,10,10,0,1,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\conmain.cpp,TestErrorMode(CConsole& con),25,21,21,0,4,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\conmain.cpp,TestCustomColors(CConsole& con),40,34,34,0,6,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\conmain.cpp,TestOperatorStreamOut(CConsole& con),11,10,10,0,1,0,0,0,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\conmain.cpp,TestModuleLoggingSet(CConsole& con),26,20,20,0,5,0,1,28,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\conmain.cpp,"threadFunc(CConsole& con, CConsole::FormatSignal fs)",196,141,106,15,24,8,31,414,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\conmain.cpp,TestConcurrentLogging(CConsole& con),49,33,24,6,3,0,13,76,
C:\__PR00F__\___developing___\projects\Console\CConsole\src\conmain.cpp,"WinMain(const HINSTANCE hInstance, const HINSTANCE hPrevInstance, const LPSTR lpCmdLine, const int nCmdShow)",22,16,16,1,6,1,0,14,
